|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       36.00% |       33.33% |       1.0933 |       1.1409 |          0.0010 |
|      25 |          50 |       00:00:13 |       59.00% |       85.00% |       0.9935 |       0.5087 |          0.0010 |
|      50 |         100 |       00:00:24 |       77.00% |       65.00% |       0.6606 |       0.8890 |          0.0010 |
|      75 |         150 |       00:00:35 |       74.00% |       60.00% |       0.6430 |       0.9368 |          0.0010 |
|     100 |         200 |       00:00:46 |       86.00% |       76.67% |       0.3536 |       0.5679 |          0.0010 |
|     125 |         250 |       00:00:58 |       93.00% |       58.33% |       0.1922 |       1.2736 |          0.0010 |
|     150 |         300 |       00:01:09 |       91.00% |       76.67% |       0.2970 |       0.5314 |          0.0010 |
|     175 |         350 |       00:01:20 |       93.00% |       86.67% |       0.2006 |       0.4278 |          0.0010 |
|     200 |         400 |       00:01:31 |       91.00% |       88.33% |       0.2055 |       0.3814 |          0.0010 |
|     225 |         450 |       00:01:42 |       94.00% |       85.00% |       0.1663 |       0.5079 |          0.0010 |
|     250 |         500 |       00:01:54 |       84.00% |       85.00% |       0.5159 |       0.4562 |          0.0010 |
|     275 |         550 |       00:02:05 |       92.00% |       88.33% |       0.1925 |       0.3802 |          0.0010 |
|     300 |         600 |       00:02:16 |       88.00% |       80.00% |       0.3092 |       0.5366 |          0.0010 |
|     325 |         650 |       00:02:27 |       94.00% |       85.00% |       0.1484 |       0.5067 |          0.0010 |
|     350 |         700 |       00:02:38 |       95.00% |       81.67% |       0.1052 |       0.6261 |          0.0010 |
|     375 |         750 |       00:02:49 |       94.00% |       75.00% |       0.2217 |       0.6824 |          0.0010 |
|     400 |         800 |       00:03:00 |       96.00% |       80.00% |       0.0794 |       0.7139 |          0.0010 |
|     425 |         850 |       00:03:11 |       76.00% |       80.00% |       0.6384 |       0.6352 |          0.0010 |
|     450 |         900 |       00:03:22 |       91.00% |       81.67% |       0.3051 |       0.5787 |          0.0010 |
|     475 |         950 |       00:03:33 |       86.00% |       80.00% |       0.2757 |       0.6329 |          0.0010 |
|     500 |        1000 |       00:03:44 |       95.00% |       76.67% |       0.1206 |       0.7487 |          0.0010 |
|======================================================================================================================|
