|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       30.00% |       61.67% |       1.0753 |       1.0758 |          0.0010 |
|      25 |          50 |       00:00:08 |       45.00% |       56.67% |       1.0193 |       0.9871 |          0.0010 |
|      50 |         100 |       00:00:13 |       55.00% |       63.33% |       0.7198 |       0.7231 |          0.0010 |
|      75 |         150 |       00:00:18 |       71.00% |       68.33% |       0.6139 |       0.6899 |          0.0010 |
|     100 |         200 |       00:00:23 |       73.00% |       68.33% |       0.5743 |       0.6853 |          0.0010 |
|     125 |         250 |       00:00:28 |       74.00% |       68.33% |       0.5534 |       0.6889 |          0.0010 |
|     150 |         300 |       00:00:32 |       75.00% |       70.00% |       0.5389 |       0.6939 |          0.0010 |
|     175 |         350 |       00:00:37 |       74.00% |       70.00% |       0.5222 |       0.6966 |          0.0010 |
|     200 |         400 |       00:00:42 |       74.00% |       75.00% |       0.5174 |       0.6255 |          0.0010 |
|     225 |         450 |       00:00:46 |       76.00% |       75.00% |       0.4808 |       0.6736 |          0.0010 |
|     250 |         500 |       00:00:51 |       77.00% |       71.67% |       0.4661 |       0.6923 |          0.0010 |
|     275 |         550 |       00:00:56 |       82.00% |       66.67% |       0.4717 |       0.7328 |          0.0010 |
|     300 |         600 |       00:01:00 |       83.00% |       68.33% |       0.4284 |       0.7138 |          0.0010 |
|     325 |         650 |       00:01:05 |       82.00% |       66.67% |       0.4536 |       0.6882 |          0.0010 |
|     350 |         700 |       00:01:10 |       83.00% |       66.67% |       0.4322 |       0.7020 |          0.0010 |
|     375 |         750 |       00:01:14 |       84.00% |       70.00% |       0.4196 |       0.7191 |          0.0010 |
|     400 |         800 |       00:01:19 |       88.00% |       66.67% |       0.4194 |       0.7127 |          0.0010 |
|     425 |         850 |       00:01:24 |       87.00% |       65.00% |       0.4092 |       0.7459 |          0.0010 |
|     450 |         900 |       00:01:28 |       87.00% |       70.00% |       0.3761 |       0.6999 |          0.0010 |
|     475 |         950 |       00:01:33 |       86.00% |       68.33% |       0.3687 |       0.7081 |          0.0010 |
|     500 |        1000 |       00:01:38 |       89.00% |       66.67% |       0.3488 |       0.7158 |          0.0010 |
